match_type,budget,winner,rounds,blue_hp,red_hp,blue_alive,red_alive,blue_comp,red_comp
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
V2_vs_Simple,5,RED,4,0,10,0,1,ARCHER,KNIGHT
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
Simple_vs_V2,5,BLUE,4,10,0,1,0,KNIGHT,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
V2_vs_V2,5,RED,4,0,0,0,0,ARCHER,ARCHER
Simple_vs_Simple,5,RED,8,0,0,0,0,KNIGHT,KNIGHT
